page,id,format,pgfplots,plot,model,path
40,page-40-q3-h-diagram-img,tikz,False,False,True,linear-complete-page-40/0/content/children/7/questionDiagrams/0
41,page-41-q4-diagram-img,tikz,False,False,True,linear-complete-page-41/0/content/questionDiagrams/0
41,page-41-q5-a-editable,tikz,False,False,False,linear-complete-page-41/1/content/children/0/questionDiagrams/0
41,page-41-q5-b-editable,tikz,False,False,False,linear-complete-page-41/1/content/children/1/questionDiagrams/0
41,page-41-q5-c-editable,tikz,False,False,False,linear-complete-page-41/1/content/children/2/questionDiagrams/0
41,page-41-q5-d-editable,tikz,False,False,False,linear-complete-page-41/1/content/children/3/questionDiagrams/0
42,page-42-q1-diagram,image,False,False,False,linear-complete-page-42/0/content/questionDiagrams/0
42,page-42-q3-diagram-img,image,False,False,False,linear-complete-page-42/2/content/questionDiagrams/0
42,page-42-q3-root-plotted-answer,tikz,False,False,True,linear-complete-page-42/2/content/answer/solutionDiagrams/0
43,page-43-diag-pentagons,image,False,False,False,linear-complete-page-43/0/content/questionDiagrams/0
43,page-43-diag-grid,image,False,False,False,linear-complete-page-43/0/content/children/2/questionDiagrams/0
43,page-43-sol-diagram,tikz,False,False,False,linear-complete-page-43/0/content/children/2/answer/solutionDiagrams/0
44,page-44-diag-squares,image,False,False,False,linear-complete-page-44/0/content/questionDiagrams/0
44,page-44-diag-graph1,image,False,False,False,linear-complete-page-44/0/content/children/2/questionDiagrams/0
44,page-44-q1-graph-solution,tikz,False,False,False,linear-complete-page-44/0/content/children/2/answer/solutionDiagrams/0
44,page-44-diag-match2,image,False,False,False,linear-complete-page-44/1/content/questionDiagrams/0
44,page-44-diag-graph2,image,False,False,False,linear-complete-page-44/1/content/children/2/questionDiagrams/0
44,page-44-q2-graph-solution,tikz,False,False,False,linear-complete-page-44/1/content/children/2/answer/solutionDiagrams/0
45,page-45-diag-triangles,image,False,False,False,linear-complete-page-45/0/content/questionDiagrams/0
45,page-45-diag-grid1,image,False,False,False,linear-complete-page-45/0/content/children/2/questionDiagrams/0
45,page-45-sol-graph1-tikz,tikz,False,False,False,linear-complete-page-45/0/content/children/2/answer/solutionDiagrams/0
45,page-45-diag-diamonds,image,False,False,False,linear-complete-page-45/1/content/questionDiagrams/0
45,page-45-diag-grid2,image,False,False,False,linear-complete-page-45/1/content/children/2/questionDiagrams/0
45,page-45-sol-graph2-tikz,tikz,False,False,False,linear-complete-page-45/1/content/children/2/answer/solutionDiagrams/0
46,page-46-q3-diag-pattern,image,False,False,False,linear-complete-page-46/0/content/questionDiagrams/0
46,page-46-q3-diag-grid,image,False,False,False,linear-complete-page-46/0/content/children/1/questionDiagrams/0
46,page-46-q3-b-plotted-answer,tikz,False,False,True,linear-complete-page-46/0/content/children/1/answer/solutionDiagrams/0
46,page-46-q4-diag-pattern,image,False,False,False,linear-complete-page-46/1/content/questionDiagrams/0
46,page-46-q4-diag-grid,image,False,False,False,linear-complete-page-46/1/content/children/1/questionDiagrams/0
46,page-46-q4-b-plotted-answer,tikz,False,False,True,linear-complete-page-46/1/content/children/1/answer/solutionDiagrams/0
47,page-47-q6-diag-pattern,image,False,False,False,linear-complete-page-47/0/content/questionDiagrams/0
47,page-47-q6-diag-grid,image,False,False,False,linear-complete-page-47/0/content/children/1/questionDiagrams/0
47,page-47-q6-b-plotted-answer,tikz,False,False,True,linear-complete-page-47/0/content/children/1/answer/solutionDiagrams/0
47,page-47-q7-diag-pattern,image,False,False,False,linear-complete-page-47/1/content/questionDiagrams/0
47,page-47-q7-diag-grid,image,False,False,False,linear-complete-page-47/1/content/children/1/questionDiagrams/0
47,page-47-q7-b-plotted-answer,tikz,False,False,True,linear-complete-page-47/1/content/children/1/answer/solutionDiagrams/0
48,page-48-q8-diag-pattern,image,False,False,False,linear-complete-page-48/0/content/questionDiagrams/0
48,page-48-q8-diag-grid,image,False,False,False,linear-complete-page-48/0/content/children/1/questionDiagrams/0
48,page-48-q8-b-plotted-answer,tikz,False,False,True,linear-complete-page-48/0/content/children/1/answer/solutionDiagrams/0
48,page-48-q9-diag-pattern,image,False,False,False,linear-complete-page-48/1/content/questionDiagrams/0
48,page-48-q9-diag-grid,image,False,False,False,linear-complete-page-48/1/content/children/1/questionDiagrams/0
48,page-48-q9-b-plotted-answer,tikz,False,False,True,linear-complete-page-48/1/content/children/1/answer/solutionDiagrams/0
49,page-49-q10-pattern,image,False,False,False,linear-complete-page-49/0/content/questionDiagrams/0
49,page-49-q10-graph,image,False,False,False,linear-complete-page-49/0/content/questionDiagrams/1
49,page-49-q10-root-plotted-answer,tikz,False,False,True,linear-complete-page-49/0/content/answer/solutionDiagrams/0
49,page-49-q11-pattern,image,False,False,False,linear-complete-page-49/1/content/questionDiagrams/0
49,page-49-q11-graph,image,False,False,False,linear-complete-page-49/1/content/questionDiagrams/1
49,page-49-q11-root-plotted-answer,tikz,False,False,True,linear-complete-page-49/1/content/answer/solutionDiagrams/0
51,page-51-q1-diagram,image,False,False,False,linear-complete-page-51/0/content/questionDiagrams/0
51,page-51-q2-diagram,image,False,False,False,linear-complete-page-51/1/content/questionDiagrams/0
52,page-52-q1-diag1,image,False,False,False,linear-complete-page-52/0/content/questionDiagrams/0
52,page-52-q2-diag1,image,False,False,False,linear-complete-page-52/1/content/questionDiagrams/0
53,page-53-q3-diag1,image,False,False,False,linear-complete-page-53/0/content/questionDiagrams/0
53,page-53-q4-diag1,image,False,False,False,linear-complete-page-53/1/content/questionDiagrams/0
54,page-54-q5-diag1,image,False,False,False,linear-complete-page-54/0/content/questionDiagrams/0
54,page-54-q6-diag1,image,False,False,False,linear-complete-page-54/1/content/questionDiagrams/0
55,page-55-q7-diag1,image,False,False,False,linear-complete-page-55/0/content/questionDiagrams/0
55,page-55-q8-diag1,image,False,False,False,linear-complete-page-55/1/content/questionDiagrams/0
56,page-56-q9-diag1,image,False,False,False,linear-complete-page-56/0/content/questionDiagrams/0
56,page-56-q10-diag1,image,False,False,False,linear-complete-page-56/1/content/questionDiagrams/0
56,page-56-q11-diag1,image,False,False,False,linear-complete-page-56/2/content/questionDiagrams/0
57,page-57-q12-diag1,image,False,False,False,linear-complete-page-57/0/content/questionDiagrams/0
57,page-57-q13-diag1,image,False,False,False,linear-complete-page-57/1/content/questionDiagrams/0
58,page-58-editable-pattern,tikz,False,False,False,linear-complete-page-58/2
58,page-58-diagram-graph,image,False,False,False,linear-complete-page-58/4
59,page-59-q1-diagram-pattern,image,False,False,False,linear-complete-page-59/0/content/questionDiagrams/0
59,page-59-q1-diagram-graph,image,False,False,False,linear-complete-page-59/0/content/questionDiagrams/1
59,page-59-q1-solution-diagram,tikz,False,False,False,linear-complete-page-59/0/content/answer/solutionDiagrams/0
59,page-59-q2-diagram-sequence,image,False,False,False,linear-complete-page-59/1/content/questionDiagrams/0
59,page-59-q2-diagram-graph,image,False,False,False,linear-complete-page-59/1/content/questionDiagrams/1
59,page-59-q2-solution-diagram,tikz,False,False,False,linear-complete-page-59/1/content/answer/solutionDiagrams/0
60,page-60-q3-diagram-pattern,image,False,False,False,linear-complete-page-60/0/content/questionDiagrams/0
60,page-60-q3-diagram-graph,image,False,False,False,linear-complete-page-60/0/content/questionDiagrams/1
60,page-60-q3-solution-diagram,tikz,False,False,False,linear-complete-page-60/0/content/answer/solutionDiagrams/0
60,page-60-q4-diagram-pattern,image,False,False,False,linear-complete-page-60/1/content/questionDiagrams/0
60,page-60-q4-diagram-graph,image,False,False,False,linear-complete-page-60/1/content/questionDiagrams/1
60,page-60-q4-solution-diagram,tikz,False,False,False,linear-complete-page-60/1/content/answer/solutionDiagrams/0
61,page-61-q5-diag-pattern,image,False,False,False,linear-complete-page-61/0/content/questionDiagrams/0
61,page-61-q5-diag-graph,image,False,False,False,linear-complete-page-61/0/content/questionDiagrams/1
61,page-61-q5-diag-sol,tikz,False,True,False,linear-complete-page-61/0/content/answer/solutionDiagrams/0
61,page-61-q6-diag-pattern,image,False,False,False,linear-complete-page-61/1/content/questionDiagrams/0
61,page-61-q6-diag-graph,image,False,False,False,linear-complete-page-61/1/content/questionDiagrams/1
61,page-61-q6-diag-sol,tikz,False,True,False,linear-complete-page-61/1/content/answer/solutionDiagrams/0
62,page-62-q7-diag-pattern,image,False,False,False,linear-complete-page-62/0/content/questionDiagrams/0
62,page-62-q7-diag-graph,image,False,False,False,linear-complete-page-62/0/content/questionDiagrams/1
62,page-62-q7-diag-sol,tikz,False,True,False,linear-complete-page-62/0/content/answer/solutionDiagrams/0
62,page-62-q8-diag-graph,image,False,False,False,linear-complete-page-62/1/content/questionDiagrams/0
62,page-62-q8-diag-sol,tikz,False,True,False,linear-complete-page-62/1/content/answer/solutionDiagrams/0
62,page-62-q9-diag-graph,image,False,False,False,linear-complete-page-62/2/content/questionDiagrams/0
62,page-62-q9-diag-sol,tikz,False,True,False,linear-complete-page-62/2/content/answer/solutionDiagrams/0
63,page-63-q10-diag-graph,image,False,False,False,linear-complete-page-63/0/content/questionDiagrams/0
63,page-63-q10-diag-sol,tikz,False,True,False,linear-complete-page-63/0/content/answer/solutionDiagrams/0
63,page-63-q11-diag-graph,image,False,False,False,linear-complete-page-63/1/content/questionDiagrams/0
